checkpoint,latitude,longitude,disease,confidence,severity,spread_risk,description,treatment,timestamp
11,29.427,30.837034,Tomato___Septoria_leaf_spot,100.0,Medium,Medium,تبقع سبتوريا يسبب بقعاً دائرية صغيرة بحدود داكنة على الأوراق السفلية.,أزل الأوراق السفلية المصابة فور ظهور البقع. | رش مبيداً فطرياً يحتوي على كلوروثالونيل أو نحاس.,2026-05-03 00:49:21
12,29.427,30.837138,Tomato___Early_blight,100.0,Medium,High,اللفحة المبكرة مرض فطري يسبب بقعاً بنية داكنة بحلقات صفراء على الأوراق.,قم بإزالة وإتلاف جميع الأوراق المصابة فوراً. | رش مبيد فطري نحاسي (مثل مزيج بوردو) كل 7-10 أيام.,2026-05-03 00:49:21
13,29.427,30.837241,Tomato___Septoria_leaf_spot,72.2,Medium,Medium,تبقع سبتوريا يسبب بقعاً دائرية صغيرة بحدود داكنة على الأوراق السفلية.,أزل الأوراق السفلية المصابة فور ظهور البقع. | رش مبيداً فطرياً يحتوي على كلوروثالونيل أو نحاس.,2026-05-03 00:49:21
14,29.427,30.837345,Tomato___Late_blight,77.3,High,Very High,اللفحة المتأخرة مرض فطري سريع الانتشار يسبب آفات داكنة مشبعة بالماء.,تصرف فوراً — اللفحة المتأخرة تنتشر بسرعة شديدة. | أزل جميع أجزاء النبات المصابة وأحرقها (لا تضعها في السماد).,2026-05-03 00:49:21
15,29.427,30.837448,Tomato___Late_blight,99.8,High,Very High,اللفحة المتأخرة مرض فطري سريع الانتشار يسبب آفات داكنة مشبعة بالماء.,تصرف فوراً — اللفحة المتأخرة تنتشر بسرعة شديدة. | أزل جميع أجزاء النبات المصابة وأحرقها (لا تضعها في السماد).,2026-05-03 00:49:21
16,29.427,30.837552,Tomato___Late_blight,100.0,High,Very High,اللفحة المتأخرة مرض فطري سريع الانتشار يسبب آفات داكنة مشبعة بالماء.,تصرف فوراً — اللفحة المتأخرة تنتشر بسرعة شديدة. | أزل جميع أجزاء النبات المصابة وأحرقها (لا تضعها في السماد).,2026-05-03 00:49:21
17,29.427,30.837655,Potato___Early_blight,74.1,Medium,Medium,اللفحة المبكرة على البطاطس تسبب بقعاً داكنة بحلقات متحدة المركز على الأوراق القديمة.,أزل الأوراق المصابة وتخلص منها بعناية. | رش مبيداً فطرياً (مانكوزيب أو كلوروثالونيل) كل 10-14 يوماً.,2026-05-03 00:49:21
18,29.427,30.837758,Potato___Early_blight,99.7,Medium,Medium,اللفحة المبكرة على البطاطس تسبب بقعاً داكنة بحلقات متحدة المركز على الأوراق القديمة.,أزل الأوراق المصابة وتخلص منها بعناية. | رش مبيداً فطرياً (مانكوزيب أو كلوروثالونيل) كل 10-14 يوماً.,2026-05-03 00:49:21
19,29.427,30.837862,Tomato___Early_blight,99.9,Medium,High,اللفحة المبكرة مرض فطري يسبب بقعاً بنية داكنة بحلقات صفراء على الأوراق.,قم بإزالة وإتلاف جميع الأوراق المصابة فوراً. | رش مبيد فطري نحاسي (مثل مزيج بوردو) كل 7-10 أيام.,2026-05-03 00:49:21
20,29.427,30.837965,Tomato___healthy,100.0,None,None,هذا النبات سليم. لم يتم اكتشاف أي مرض.,استمر في جدول الري والتسميد المنتظم. | راقب أسبوعياً للكشف المبكر عن علامات الأمراض.,2026-05-03 00:49:21
21,29.427,30.838069,Tomato___Late_blight,100.0,High,Very High,اللفحة المتأخرة مرض فطري سريع الانتشار يسبب آفات داكنة مشبعة بالماء.,تصرف فوراً — اللفحة المتأخرة تنتشر بسرعة شديدة. | أزل جميع أجزاء النبات المصابة وأحرقها (لا تضعها في السماد).,2026-05-03 00:49:22
22,29.427,30.838172,Tomato___Septoria_leaf_spot,99.9,Medium,Medium,تبقع سبتوريا يسبب بقعاً دائرية صغيرة بحدود داكنة على الأوراق السفلية.,أزل الأوراق السفلية المصابة فور ظهور البقع. | رش مبيداً فطرياً يحتوي على كلوروثالونيل أو نحاس.,2026-05-03 00:49:22
23,29.427,30.838276,Tomato___Septoria_leaf_spot,99.9,Medium,Medium,تبقع سبتوريا يسبب بقعاً دائرية صغيرة بحدود داكنة على الأوراق السفلية.,أزل الأوراق السفلية المصابة فور ظهور البقع. | رش مبيداً فطرياً يحتوي على كلوروثالونيل أو نحاس.,2026-05-03 00:49:22
24,29.427,30.838379,Tomato___Septoria_leaf_spot,99.9,Medium,Medium,تبقع سبتوريا يسبب بقعاً دائرية صغيرة بحدود داكنة على الأوراق السفلية.,أزل الأوراق السفلية المصابة فور ظهور البقع. | رش مبيداً فطرياً يحتوي على كلوروثالونيل أو نحاس.,2026-05-03 00:49:22
25,29.427,30.838482,Potato___Late_blight,100.0,Critical,Very High,اللفحة المتأخرة على البطاطس هي أشد الأمراض تدميراً — سببها نفس الممرض الذي أحدث المجاعة الأيرلندية.,تصرف فوراً — هذا المرض يمكن أن يدمر حقلاً بأكمله في أيام. | أزل جميع النباتات المصابة وأحرقها.,2026-05-03 00:49:22
26,29.42709,30.838482,Tomato___Early_blight,96.1,Medium,High,اللفحة المبكرة مرض فطري يسبب بقعاً بنية داكنة بحلقات صفراء على الأوراق.,قم بإزالة وإتلاف جميع الأوراق المصابة فوراً. | رش مبيد فطري نحاسي (مثل مزيج بوردو) كل 7-10 أيام.,2026-05-03 00:49:22
27,29.42709,30.838379,Tomato___Septoria_leaf_spot,92.6,Medium,Medium,تبقع سبتوريا يسبب بقعاً دائرية صغيرة بحدود داكنة على الأوراق السفلية.,أزل الأوراق السفلية المصابة فور ظهور البقع. | رش مبيداً فطرياً يحتوي على كلوروثالونيل أو نحاس.,2026-05-03 00:49:22
28,29.42709,30.838276,Potato___Early_blight,99.8,Medium,Medium,اللفحة المبكرة على البطاطس تسبب بقعاً داكنة بحلقات متحدة المركز على الأوراق القديمة.,أزل الأوراق المصابة وتخلص منها بعناية. | رش مبيداً فطرياً (مانكوزيب أو كلوروثالونيل) كل 10-14 يوماً.,2026-05-03 00:49:22
29,29.42709,30.838172,Tomato___Septoria_leaf_spot,100.0,Medium,Medium,تبقع سبتوريا يسبب بقعاً دائرية صغيرة بحدود داكنة على الأوراق السفلية.,أزل الأوراق السفلية المصابة فور ظهور البقع. | رش مبيداً فطرياً يحتوي على كلوروثالونيل أو نحاس.,2026-05-03 00:49:22
30,29.42709,30.838069,Tomato___Tomato_Yellow_Leaf_Curl_Virus,100.0,High,High,فيروس تجعد وصفار أوراق الطماطم ينتشر عن طريق الذباب الأبيض ويسبب تجعد الأوراق واصفرارها.,لا يوجد علاج — أزل النباتات المصابة وأتلفها فوراً. | تحكم في أعداد الذباب الأبيض باستخدام مصائد لاصقة صفراء.,2026-05-03 00:49:23
31,29.42709,30.837965,Tomato___Tomato_Yellow_Leaf_Curl_Virus,100.0,High,High,فيروس تجعد وصفار أوراق الطماطم ينتشر عن طريق الذباب الأبيض ويسبب تجعد الأوراق واصفرارها.,لا يوجد علاج — أزل النباتات المصابة وأتلفها فوراً. | تحكم في أعداد الذباب الأبيض باستخدام مصائد لاصقة صفراء.,2026-05-03 00:49:23
32,29.42709,30.837862,Tomato___Late_blight,100.0,High,Very High,اللفحة المتأخرة مرض فطري سريع الانتشار يسبب آفات داكنة مشبعة بالماء.,تصرف فوراً — اللفحة المتأخرة تنتشر بسرعة شديدة. | أزل جميع أجزاء النبات المصابة وأحرقها (لا تضعها في السماد).,2026-05-03 00:49:23
33,29.42709,30.837758,Potato___Late_blight,99.9,Critical,Very High,اللفحة المتأخرة على البطاطس هي أشد الأمراض تدميراً — سببها نفس الممرض الذي أحدث المجاعة الأيرلندية.,تصرف فوراً — هذا المرض يمكن أن يدمر حقلاً بأكمله في أيام. | أزل جميع النباتات المصابة وأحرقها.,2026-05-03 00:49:23
34,29.42709,30.837655,Tomato___Septoria_leaf_spot,100.0,Medium,Medium,تبقع سبتوريا يسبب بقعاً دائرية صغيرة بحدود داكنة على الأوراق السفلية.,أزل الأوراق السفلية المصابة فور ظهور البقع. | رش مبيداً فطرياً يحتوي على كلوروثالونيل أو نحاس.,2026-05-03 00:49:23
35,29.42709,30.837552,Potato___Early_blight,100.0,Medium,Medium,اللفحة المبكرة على البطاطس تسبب بقعاً داكنة بحلقات متحدة المركز على الأوراق القديمة.,أزل الأوراق المصابة وتخلص منها بعناية. | رش مبيداً فطرياً (مانكوزيب أو كلوروثالونيل) كل 10-14 يوماً.,2026-05-03 00:49:23
36,29.42709,30.837448,Potato___Late_blight,99.9,Critical,Very High,اللفحة المتأخرة على البطاطس هي أشد الأمراض تدميراً — سببها نفس الممرض الذي أحدث المجاعة الأيرلندية.,تصرف فوراً — هذا المرض يمكن أن يدمر حقلاً بأكمله في أيام. | أزل جميع النباتات المصابة وأحرقها.,2026-05-03 00:49:23
37,29.42709,30.837345,Potato___Early_blight,99.1,Medium,Medium,اللفحة المبكرة على البطاطس تسبب بقعاً داكنة بحلقات متحدة المركز على الأوراق القديمة.,أزل الأوراق المصابة وتخلص منها بعناية. | رش مبيداً فطرياً (مانكوزيب أو كلوروثالونيل) كل 10-14 يوماً.,2026-05-03 00:49:23
38,29.42709,30.837241,Tomato___Septoria_leaf_spot,95.4,Medium,Medium,تبقع سبتوريا يسبب بقعاً دائرية صغيرة بحدود داكنة على الأوراق السفلية.,أزل الأوراق السفلية المصابة فور ظهور البقع. | رش مبيداً فطرياً يحتوي على كلوروثالونيل أو نحاس.,2026-05-03 00:49:23
39,29.42709,30.837138,Tomato___healthy,100.0,None,None,هذا النبات سليم. لم يتم اكتشاف أي مرض.,استمر في جدول الري والتسميد المنتظم. | راقب أسبوعياً للكشف المبكر عن علامات الأمراض.,2026-05-03 00:49:24
40,29.42709,30.837034,Potato___Early_blight,100.0,Medium,Medium,اللفحة المبكرة على البطاطس تسبب بقعاً داكنة بحلقات متحدة المركز على الأوراق القديمة.,أزل الأوراق المصابة وتخلص منها بعناية. | رش مبيداً فطرياً (مانكوزيب أو كلوروثالونيل) كل 10-14 يوماً.,2026-05-03 00:49:24
41,29.42709,30.836931,Tomato___Late_blight,99.9,High,Very High,اللفحة المتأخرة مرض فطري سريع الانتشار يسبب آفات داكنة مشبعة بالماء.,تصرف فوراً — اللفحة المتأخرة تنتشر بسرعة شديدة. | أزل جميع أجزاء النبات المصابة وأحرقها (لا تضعها في السماد).,2026-05-03 00:49:24
42,29.42709,30.836827,Tomato___Late_blight,100.0,High,Very High,اللفحة المتأخرة مرض فطري سريع الانتشار يسبب آفات داكنة مشبعة بالماء.,تصرف فوراً — اللفحة المتأخرة تنتشر بسرعة شديدة. | أزل جميع أجزاء النبات المصابة وأحرقها (لا تضعها في السماد).,2026-05-03 00:49:24
43,29.42709,30.836724,Tomato___Late_blight,99.9,High,Very High,اللفحة المتأخرة مرض فطري سريع الانتشار يسبب آفات داكنة مشبعة بالماء.,تصرف فوراً — اللفحة المتأخرة تنتشر بسرعة شديدة. | أزل جميع أجزاء النبات المصابة وأحرقها (لا تضعها في السماد).,2026-05-03 00:49:24
44,29.42709,30.836621,Potato___Late_blight,100.0,Critical,Very High,اللفحة المتأخرة على البطاطس هي أشد الأمراض تدميراً — سببها نفس الممرض الذي أحدث المجاعة الأيرلندية.,تصرف فوراً — هذا المرض يمكن أن يدمر حقلاً بأكمله في أيام. | أزل جميع النباتات المصابة وأحرقها.,2026-05-03 00:49:24
45,29.42709,30.836517,Tomato___Septoria_leaf_spot,59.5,Medium,Medium,تبقع سبتوريا يسبب بقعاً دائرية صغيرة بحدود داكنة على الأوراق السفلية.,أزل الأوراق السفلية المصابة فور ظهور البقع. | رش مبيداً فطرياً يحتوي على كلوروثالونيل أو نحاس.,2026-05-03 00:49:24
46,29.42709,30.836414,Tomato___Early_blight,79.7,Medium,High,اللفحة المبكرة مرض فطري يسبب بقعاً بنية داكنة بحلقات صفراء على الأوراق.,قم بإزالة وإتلاف جميع الأوراق المصابة فوراً. | رش مبيد فطري نحاسي (مثل مزيج بوردو) كل 7-10 أيام.,2026-05-03 00:49:24
47,29.42709,30.83631,Tomato___Late_blight,66.7,High,Very High,اللفحة المتأخرة مرض فطري سريع الانتشار يسبب آفات داكنة مشبعة بالماء.,تصرف فوراً — اللفحة المتأخرة تنتشر بسرعة شديدة. | أزل جميع أجزاء النبات المصابة وأحرقها (لا تضعها في السماد).,2026-05-03 00:49:24
48,29.42709,30.836207,Tomato___healthy,99.8,None,None,هذا النبات سليم. لم يتم اكتشاف أي مرض.,استمر في جدول الري والتسميد المنتظم. | راقب أسبوعياً للكشف المبكر عن علامات الأمراض.,2026-05-03 00:49:24
49,29.42709,30.836103,Potato___Late_blight,97.0,Critical,Very High,اللفحة المتأخرة على البطاطس هي أشد الأمراض تدميراً — سببها نفس الممرض الذي أحدث المجاعة الأيرلندية.,تصرف فوراً — هذا المرض يمكن أن يدمر حقلاً بأكمله في أيام. | أزل جميع النباتات المصابة وأحرقها.,2026-05-03 00:49:24
50,29.42709,30.836,Potato___Late_blight,100.0,Critical,Very High,اللفحة المتأخرة على البطاطس هي أشد الأمراض تدميراً — سببها نفس الممرض الذي أحدث المجاعة الأيرلندية.,تصرف فوراً — هذا المرض يمكن أن يدمر حقلاً بأكمله في أيام. | أزل جميع النباتات المصابة وأحرقها.,2026-05-03 00:49:25
